RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg,tm_designation,gaia_source_id,kepid,nearest_neighbour
287.314862,39.538185,b'19091556+3932174',9.424,0.021,9.119,0.026,9.033,0.023,b'AAA',b'222',b'111',b'000',0,0,2MASS J19091556+3932174,2100416823690394624,4450844,1
289.553777,39.565483,b'19181290+3933557',9.847,0.018,9.484,0.016,9.424,0.016,b'AAA',b'222',b'111',b'000',0,0,2MASS J19181290+3933557,2101015954450819456,4457351,1
291.891331,39.581047,b'19273391+3934517',10.283,0.027,9.955,0.033,9.902,0.019,b'AAA',b'222',b'111',b'000',0,0,2MASS J19273391+3934517,2053362261510080768,4465324,1
291.891331,39.581047,b'19273391+3934517',10.283,0.027,9.955,0.033,9.902,0.019,b'AAA',b'222',b'111',b'000',0,0,2MASS J19273391+3934517,2053362261510079744,4465324,0
291.891331,39.581047,b'19273391+3934517',10.283,0.027,9.955,0.033,9.902,0.019,b'AAA',b'222',b'111',b'000',0,0,2MASS J19273391+3934517,2053362261510080768,4465324,1
291.891331,39.581047,b'19273391+3934517',10.283,0.027,9.955,0.033,9.902,0.019,b'AAA',b'222',b'111',b'000',0,0,2MASS J19273391+3934517,2053362261510079744,4465324,0
291.947131,39.584366,b'19274731+3935037',9.046,,8.791,0.046,8.731,0.019,b'UAA',b'622',b'022',b'0cc',0,0,2MASS J19274731+3935037,2053174966578865408,4465529,1
285.237253,39.666397,b'19005694+3939590',9.379,0.02,9.114,0.022,9.063,0.02,b'AAA',b'222',b'111',b'000',0,0,2MASS J19005694+3939590,2100325529865506688,4543171,1
294.296547,39.69606,b'19371117+3941458',9.789,0.022,9.533,0.019,9.48,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19371117+3941458,2052443138512815104,4571351,1
294.436258,39.642735,b'19374470+3938338',10.619,0.024,10.32,0.028,10.306,0.022,b'AAA',b'222',b'111',b'000',0,0,2MASS J19374470+3938338,2076446748656151680,4571904,1
295.064325,39.682941,b'19401543+3940585',7.927,0.023,7.708,0.02,7.686,0.024,b'AAA',b'111',b'111',b'000',0,0,2MASS J19401543+3940585,2076260175281528064,4574610,1
295.682802,39.618729,b'19424387+3937074',9.73,0.025,9.369,0.02,9.283,0.014,b'AAA',b'222',b'111',b'000',0,0,2MASS J19424387+3937074,2076223101122787328,4577484,1
297.409907,39.646576,b'19493837+3938476',8.26,0.024,8.016,0.021,7.98,0.026,b'AAA',b'111',b'111',b'000',0,0,2MASS J19493837+3938476,2073631277337888256,4586099,1
286.407837,39.719406,b'19053788+3943098',9.019,0.019,8.804,0.024,8.752,0.017,b'AAA',b'112',b'111',b'000',0,0,2MASS J19053788+3943098,2100657131403482112,4638884,1
287.588831,39.711514,b'19102131+3942414',10.559,0.024,10.271,0.022,10.178,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19102131+3942414,2100514061750446464,4641621,1
296.161634,39.781895,b'19443879+3946548',10.064,0.023,9.777,0.02,9.699,0.014,b'AAA',b'222',b'111',b'000',0,0,2MASS J19443879+3946548,2076310958972692224,4672403,1
289.756432,39.872063,b'19190154+3952194',10.541,0.025,10.271,0.032,10.176,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19190154+3952194,2101049901872784896,4739932,1
294.149115,39.811977,b'19363578+3948431',9.56,0.02,9.323,0.019,9.263,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19363578+3948431,2052491723180057856,4755204,1
294.149115,39.811977,b'19363578+3948431',9.56,0.02,9.323,0.019,9.263,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19363578+3948431,2052491826263606016,4755204,0
294.149115,39.811977,b'19363578+3948431',9.56,0.02,9.323,0.019,9.263,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19363578+3948431,2052491723180057856,4755204,1
294.149115,39.811977,b'19363578+3948431',9.56,0.02,9.323,0.019,9.263,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19363578+3948431,2052491826263606016,4755204,0
294.377311,39.855667,b'19373055+3951204',9.89,0.024,9.632,0.028,9.59,0.022,b'AAA',b'222',b'111',b'000',0,0,2MASS J19373055+3951204,2076463928525422592,4756112,1
293.525171,39.991199,b'19340604+3959283',10.651,0.02,10.374,0.022,10.313,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19340604+3959283,2053256399158515840,4841753,1
293.727686,39.907337,b'19345464+3954264',10.233,0.02,9.943,0.02,9.874,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19345464+3954264,2052504951683565056,4842436,1
294.739376,39.998127,b'19385745+3959532',10.07,0.022,9.83,0.028,9.771,0.024,b'AAA',b'222',b'111',b'000',0,0,2MASS J19385745+3959532,2076470040258040704,4846457,1
294.739376,39.998127,b'19385745+3959532',10.07,0.022,9.83,0.028,9.771,0.024,b'AAA',b'222',b'111',b'000',0,0,2MASS J19385745+3959532,2076470044559223552,4846457,0
294.739376,39.998127,b'19385745+3959532',10.07,0.022,9.83,0.028,9.771,0.024,b'AAA',b'222',b'111',b'000',0,0,2MASS J19385745+3959532,2076470040258040704,4846457,1
294.739376,39.998127,b'19385745+3959532',10.07,0.022,9.83,0.028,9.771,0.024,b'AAA',b'222',b'111',b'000',0,0,2MASS J19385745+3959532,2076470044559223552,4846457,0
289.145409,40.047272,b'19163489+4002501',8.285,0.024,7.999,0.017,7.935,0.023,b'AAA',b'111',b'111',b'000',0,0,2MASS J19163489+4002501,2101240083023021952,4914923,1
289.210318,40.019203,b'19165047+4001091',9.158,0.018,8.7,0.02,8.609,0.018,b'AAA',b'212',b'111',b'000',0,0,2MASS J19165047+4001091,2101251486158587520,4915148,1
297.514239,40.050419,b'19500341+4003015',9.943,0.021,9.667,0.022,9.621,0.02,b'AAA',b'222',b'111',b'000',0,0,2MASS J19500341+4003015,2073656394307226880,4947253,1
294.719693,40.153782,b'19385272+4009136',8.473,0.019,8.231,0.023,8.196,0.021,b'AAA',b'111',b'111',b'000',0,0,2MASS J19385272+4009136,2076495161528280192,5021689,1
297.130193,40.191723,b'19483124+4011302',9.478,0.02,9.0,0.024,8.928,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19483124+4011302,2073710098579801088,5033245,1
286.688291,40.233158,b'19064518+4013593',10.519,0.024,10.26,0.022,10.175,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19064518+4013593,2100696855558179200,5084157,1
290.521951,40.244102,b'19220526+4014387',9.779,,9.285,0.034,9.196,0.042,b'UAA',b'622',b'022',b'0cc',0,0,2MASS J19220526+4014387,2101128104637300608,5095159,1
294.922638,40.284798,b'19394143+4017052',9.377,0.02,8.881,0.026,8.769,0.018,b'AAA',b'212',b'111',b'000',0,0,2MASS J19394143+4017052,2076503575359113728,5110725,1
298.364664,40.343731,b'19532751+4020374',9.9,0.019,9.662,0.022,9.615,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19532751+4020374,2073580768533131904,5214711,1
283.721841,40.491879,b'18545324+4029307',9.455,0.028,9.151,0.03,9.069,0.02,b'AAA',b'222',b'111',b'000',0,0,2MASS J18545324+4029307,2103531121656097792,5253542,1
288.91449,40.41906,b'19153947+4025086',9.531,0.022,9.107,0.018,9.004,0.019,b'AAA',b'222',b'111',b'000',0,0,2MASS J19153947+4025086,2101321481243945216,5265656,1
285.390977,40.517303,b'19013383+4031022',10.134,0.02,9.905,0.02,9.849,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19013383+4031022,2103752020414267392,5344612,1
288.911642,40.595062,b'19153879+4035422',10.453,0.02,10.203,0.016,10.156,0.016,b'AAA',b'222',b'111',b'000',0,0,2MASS J19153879+4035422,2101336492147658880,5353186,1
294.365373,40.588848,b'19372768+4035198',7.427,0.035,7.227,0.055,7.202,0.018,b'AAA',b'111',b'111',b'000',0,0,2MASS J19372768+4035198,2076568691369914752,5371516,1
298.634273,40.597511,b'19543222+4035510',8.986,0.021,8.464,0.017,8.377,0.018,b'AAA',b'112',b'111',b'000',0,0,2MASS J19543222+4035510,2073610691554117632,5390438,1
298.634273,40.597511,b'19543222+4035510',8.986,0.021,8.464,0.017,8.377,0.018,b'AAA',b'112',b'111',b'000',0,0,2MASS J19543222+4035510,2073610695858718080,5390438,0
298.634273,40.597511,b'19543222+4035510',8.986,0.021,8.464,0.017,8.377,0.018,b'AAA',b'112',b'111',b'000',0,0,2MASS J19543222+4035510,2073610691554117632,5390438,1
298.634273,40.597511,b'19543222+4035510',8.986,0.021,8.464,0.017,8.377,0.018,b'AAA',b'112',b'111',b'000',0,0,2MASS J19543222+4035510,2073610695858718080,5390438,0
