KIC,Teff_SDSS,eTeff_SDSS,[M/H]_SDSS,e[M/H]_SDSS,Radius_SDSS,+eRad_SDSS,-eRad_SDSS,syRad_SDSS,Mass_SDSS,+eMas_SDSS,-eMas_SDSS,syMas_SDSS,logg_SDSS,+elogg_SDSS,-elogg_SDSS,sylogg_SDSS,rho_SDSS,+erho_SDSS,-erho_SDSS,syrho_SDSS,Age_SDSS,+eAge_SDSS,-eAge_SDSS,syAge_SDSS,Teff_ASPC,eTeff_ASPC,[M/H]_ASPC,e[M/H]_ASPC,Radius_ASPC,+eRad_ASPC,-eRad_ASPC,syRad_ASPC,Mass_ASPC,+eMas_ASPC,-eMas_ASPC,syMas_ASPC,logg_ASPC,+elogg_ASPC,-elogg_ASPC,sylogg_ASPC,rho_ASPC,+erho_ASPC,-erho_ASPC,syrho_ASPC,Age_ASPC,+eAge_ASPC,-eAge_ASPC,syAge_ASPC,Gaia,Teff,e_Teff,D,+e_D,-e_D,R,+e_R,-e_R,AV,Evol,Bin
9143749,6075.0,76.0,-0.122,0.101,1.7080000000000002,0.042,-0.041,0.02,1.151,0.047,-0.053,0.033,4.033,0.014,-0.014,0.005,0.2307,0.01121,-0.01108,0.002542,5.473,0.8390000000000001,-0.649,0.665,5625.1,69.27600000000001,-0.122,0.101,1.631,0.043,-0.042,0.025,0.999,0.051,-0.048,0.041,4.012,0.014,-0.014,0.006,0.2303,0.0114,-0.01099,0.0033159999999999995,10.0,1.304,-1.203,1.383,2106456337981602688,5859,117,354.07,3.621,3.5580000000000003,1.837,0.078,0.07400000000000001,0.048,1,0
9150095,5028.0,68.0,0.095,0.1,4.277,0.19,-0.194,0.095,1.452,0.15,-0.14800000000000002,0.078,3.3360000000000003,0.013,-0.013,0.004,0.01852,0.0008267999999999999,-0.0007992000000000001,0.0004857,2.892,1.432,-0.937,0.395,4810.6,69.27600000000001,0.095,0.1,3.972,0.201,-0.189,0.175,1.203,0.149,-0.132,0.132,3.319,0.014,-0.014,0.01,0.01917,0.0008419,-0.0008299,0.0004369,6.121,3.283,-2.132,2.516,2127099290835610112,4934,99,488.612,6.438,6.289,3.859,0.16699999999999998,0.159,0.116,2,0
9163769,6438.0,100.0,0.049,0.1,1.537,0.034,-0.033,0.017,1.315,0.046,-0.042,0.041,4.183,0.016,-0.016,0.005,0.3616,0.02045,-0.01872,0.002076,2.45,0.438,-0.421,0.456,6408.1,69.27600000000001,0.049,0.1,1.535,0.034,-0.033,0.018000000000000002,1.307,0.04,-0.037000000000000005,0.049,4.181,0.015,-0.015,0.006999999999999999,0.3608,0.01863,-0.01814,0.0035770000000000008,2.555,0.339,-0.33,0.616,2079988275606270720,6433,129,232.014,1.274,1.264,1.607,0.067,0.064,0.1,0,0
9201604,5230.0,73.0,-0.045,0.1,3.4330000000000003,0.115,-0.117,0.035,1.495,0.133,-0.134,0.049,3.54,0.011,-0.013,0.004,0.03689,0.0007224999999999999,-0.0007311,8.628e-06,2.269,1.016,-0.631,0.25,4994.8,69.27600000000001,-0.045,0.1,3.2030000000000003,0.118,-0.121,0.102,1.231,0.13,-0.124,0.109,3.516,0.014,-0.015,0.011,0.03745,0.0007053999999999999,-0.0006962000000000001,0.00030139999999999995,4.916,2.378,-1.503,1.764,2107035368292387840,5129,103,547.683,7.155,6.9910000000000005,3.3310000000000004,0.145,0.13699999999999998,0.078,1,0
9202077,6119.0,70.0,0.14800000000000002,0.1,1.981,0.041,-0.06,0.037000000000000005,1.444,0.046,-0.14800000000000002,0.079,3.999,0.012,-0.015,0.009000000000000001,0.1842,0.005439,-0.005449,0.00186,2.795,1.366,-0.349,0.76,6111.2,69.27600000000001,0.14800000000000002,0.1,1.98,0.043,-0.06,0.047,1.443,0.048,-0.149,0.107,3.999,0.012,-0.015,0.011,0.1841,0.005435,-0.005443,0.001439,2.8160000000000003,1.378,-0.364,1.098,2107026400400517248,6119,122,290.527,2.238,2.21,2.048,0.086,0.08199999999999999,0.06,1,0
9204313,5853.0,57.0,-0.158,0.1,1.508,0.028,-0.027000000000000003,0.019,1.018,0.051,-0.047,0.035,4.088,0.01,-0.01,0.006999999999999999,0.2966,0.00677,-0.006464,0.005759,8.725,1.142,-1.138,0.962,5557.9,69.27600000000001,-0.158,0.1,1.46,0.027000000000000003,-0.027000000000000003,0.035,0.92,0.048,-0.045,0.054000000000000006,4.072,0.01,-0.01,0.01,0.2954,0.006690000000000001,-0.006625,0.005396,13.12,1.581,-1.534,2.467,2107175315507604352,5645,113,215.662,1.152,1.143,1.453,0.061,0.058,0.061,1,0
9206432,6494.0,46.0,0.165,0.139,1.569,0.022,-0.014,0.016,1.567,0.057,-0.046,0.049,4.2410000000000005,0.005,-0.006,0.005,0.4052,0.002117,-0.002609,0.0041140000000000005,0.802,0.236,-0.241,0.379,6459.8,140.0,0.165,0.139,1.568,0.016,-0.013,0.017,1.569,0.038,-0.047,0.054000000000000006,4.242,0.006999999999999999,-0.006999999999999999,0.009000000000000001,0.4062,0.006035,-0.006261,0.007515000000000002,0.479,0.33,-0.258,0.3720000000000001,2106497157350919296,6538,131,147.458,0.473,0.471,1.526,0.064,0.061,0.032,0,0
9225600,6262.0,56.0,0.219,0.1,1.84,0.037000000000000005,-0.037000000000000005,0.024,1.425,0.049,-0.056,0.054000000000000006,4.061,0.012,-0.012,0.003,0.2278,0.008955,-0.008818000000000001,0.0015279999999999998,2.583,0.399,-0.313,0.482,6103.5,69.27600000000001,0.219,0.1,1.824,0.04,-0.047,0.031,1.381,0.047,-0.077,0.063,4.055,0.011,-0.013,0.006,0.22699999999999998,0.009283,-0.009093,0.001363,3.16,0.86,-0.396,0.757,2080048954904573056,6090,122,342.3280000000001,3.136,3.088,1.888,0.08,0.076,0.093,1,0
9226926,7149.0,132.0,-0.16699999999999998,0.1,1.641,0.022,-0.022,0.053,1.4780000000000002,0.056,-0.054000000000000006,0.096,4.177,0.008,-0.009000000000000001,0.012,0.3341,0.005978,-0.006168,0.01547,1.217,0.23,-0.208,0.465,6478.8,69.27600000000001,-0.16699999999999998,0.1,1.622,0.021,-0.018000000000000002,0.018000000000000002,1.3119999999999998,0.048,-0.036000000000000004,0.049,4.136,0.006999999999999999,-0.006999999999999999,0.008,0.3074,0.005172,-0.004991,0.004352,2.552,0.275,-0.298,0.523,2080040708566989568,6892,138,137.091,0.421,0.42,1.641,0.069,0.065,0.05,0,0
9266926,5971.0,63.0,-0.387,0.099,1.47,0.032,-0.031,0.018000000000000002,0.956,0.045,-0.044,0.029,4.083,0.011,-0.011,0.005,0.3007,0.01015,-0.009974,0.003471,9.033,1.1909999999999998,-1.0490000000000002,1.142,5649.5,69.27600000000001,-0.387,0.099,1.418,0.032,-0.031,0.031,0.856,0.042,-0.042,0.047,4.067,0.01,-0.011,0.006999999999999999,0.3005,0.01031,-0.01017,0.004693999999999999,13.93,1.362,-1.4369999999999998,2.088,2107181049283909760,5626,113,298.094,2.116,2.092,1.5119999999999998,0.064,0.06,0.063,1,0
