KIC,Teff,eTeff,[M/H],e[M/H],Radius,+eRad,-eRad,syRad,Mass,+eMas,-eMas,syMas,logg,+elogg,-elogg,sylogg,rho,+erho,-erho,syrho,Age,+eAge,-eAge,syAge
9962623,5913.0,166.0,-0.207,0.10099999999999999,1.395,0.039,-0.037000000000000005,0.016,0.987,0.08,-0.071,0.027999999999999997,4.143,0.015,-0.013999999999999999,0.006,0.3635,0.01137,-0.01123,0.005226,9.031,2.755,-2.461,1.151
9965715,7030.0,405.0,-0.40399999999999997,0.1,1.3,0.013000000000000001,-0.013000000000000001,0.035,1.245,0.043,-0.043,0.059000000000000004,4.303999999999999,0.012,-0.011000000000000001,0.009000000000000001,0.5659,0.015569999999999999,-0.014459999999999999,0.02361,1.123,0.444,-0.307,0.282
10003270,6594.0,69.0,-0.18100000000000002,0.1,2.362,0.102,-0.083,0.053,1.416,0.191,-0.064,0.081,3.8480000000000003,0.021,-0.022000000000000002,0.006999999999999999,0.1086,0.007781999999999999,-0.007589,0.002257,2.467,0.292,-0.752,0.525
10016239,6482.0,51.0,-0.005,0.1,1.298,0.021,-0.022000000000000002,0.013000000000000001,1.264,0.042,-0.049,0.034,4.312,0.01,-0.01,0.004,0.5763,0.01815,-0.017130000000000003,0.003493,1.2890000000000001,0.5,-0.415,0.6890000000000001
10018963,6271.0,46.0,-0.21899999999999997,0.1,1.965,0.016,-0.018000000000000002,0.022000000000000002,1.254,0.031,-0.034,0.032,3.949,0.005,-0.005,0.003,0.1655,0.0012460000000000001,-0.00121,0.0015539999999999998,3.885,0.28800000000000003,-0.235,0.278
10019747,5769.0,65.0,0.204,0.1,1.7,0.023,-0.025,0.018000000000000002,1.168,0.038,-0.044000000000000004,0.034,4.044,0.008,-0.008,0.006999999999999999,0.2377,0.0050799999999999994,-0.005013,0.0042060000000000005,6.541,0.862,-0.6990000000000001,0.7290000000000001
10024648,6409.0,157.0,-0.006,0.1,2.0,0.039,-0.051,0.032,1.444,0.063,-0.12300000000000001,0.061,3.9939999999999998,0.013000000000000001,-0.015,0.006,0.1802,0.006085,-0.005863,0.0009492000000000001,2.34,1.065,-0.387,0.522
10025841,5738.0,187.0,0.19699999999999998,0.1,1.521,0.09,-0.08,0.028999999999999998,1.121,0.125,-0.085,0.046,4.127,0.036000000000000004,-0.039,0.004,0.3193,0.044360000000000004,-0.04024,0.0070019999999999995,7.289,2.821,-2.7760000000000002,1.242
10070754,6550.0,58.0,-0.21,0.099,1.284,0.026000000000000002,-0.026000000000000002,0.012,1.2009999999999998,0.045,-0.047,0.032,4.2989999999999995,0.013999999999999999,-0.013999999999999999,0.005,0.5657,0.02556,-0.02576,0.005104999999999999,1.8359999999999999,0.5920000000000001,-0.511,0.8240000000000001
10074716,6064.0,91.0,0.11,0.1,1.465,0.042,-0.040999999999999995,0.02,1.217,0.053,-0.076,0.052000000000000005,4.189,0.018000000000000002,-0.019,0.006999999999999999,0.3864,0.05161,-0.018,0.0035520000000000005,4.088,1.44,-0.7659999999999999,1.008
10079226,6078.0,50.0,0.106,0.099,1.158,0.016,-0.016,0.006,1.147,0.043,-0.042,0.019,4.37,0.006999999999999999,-0.006999999999999999,0.003,0.7383,0.009184000000000001,-0.009269,0.0047729999999999995,2.421,0.8909999999999999,-0.7879999999999999,0.6709999999999999
10081026,6503.0,61.0,-0.244,0.10099999999999999,2.3409999999999997,0.08,-0.073,0.046,1.354,0.05,-0.044000000000000004,0.06,3.83,0.022000000000000002,-0.022000000000000002,0.004,0.1052,0.008515,-0.008223000000000001,0.0012519999999999999,2.7880000000000003,0.245,-0.248,0.262
10088136,5301.0,83.0,-0.4,0.102,3.4139999999999997,0.251,-0.254,0.128,1.329,0.18600000000000003,-0.18899999999999997,0.113,3.4930000000000003,0.027000000000000003,-0.028999999999999998,0.003,0.03324,0.003929,-0.0036409999999999997,0.001093,2.895,2.46,-1.2409999999999999,0.873
10118942,6362.0,61.0,-0.5539999999999999,0.1,2.14,0.055,-0.054000000000000006,0.026000000000000002,1.1840000000000002,0.047,-0.046,0.04,3.85,0.016,-0.016,0.004,0.1207,0.006998000000000001,-0.0068379999999999995,0.00103,3.95,0.43700000000000006,-0.38799999999999996,0.301
10129349,6699.0,56.0,0.045,0.1,1.534,0.037000000000000005,-0.035,0.018000000000000002,1.381,0.046,-0.045,0.035,4.206,0.017,-0.017,0.005,0.3817,0.01824,-0.01823,0.005908,1.575,0.297,-0.311,0.248
10130853,4945.0,78.0,0.316,0.099,3.7960000000000003,0.075,-0.07400000000000001,0.05,1.273,0.068,-0.066,0.038,3.383,0.006999999999999999,-0.006999999999999999,0.002,0.02326,0.0002841,-0.0002826,8.076e-05,5.32,1.222,-0.9670000000000001,0.433
10147635,6155.0,66.0,-0.035,0.1,2.688,0.037000000000000005,-0.033,0.025,1.4669999999999999,0.049,-0.039,0.026000000000000002,3.7460000000000004,0.006,-0.006,0.003,0.07556,0.001271,-0.0012519999999999999,0.0007843,2.4930000000000003,0.17800000000000002,-0.14,0.157
10162436,6346.0,108.0,-0.059000000000000004,0.1,2.011,0.032,-0.037000000000000005,0.027000000000000003,1.413,0.051,-0.10099999999999999,0.053,3.9789999999999996,0.008,-0.013000000000000001,0.005,0.1731,0.001709,-0.001977,0.0009061,2.571,0.8859999999999999,-0.426,0.42700000000000005
10186764,6488.0,74.0,-0.16699999999999998,0.102,1.709,0.061,-0.057999999999999996,0.023,1.305,0.046,-0.055,0.043,4.087,0.023,-0.025,0.003,0.2597,0.02244,-0.02205,0.002268,2.748,0.445,-0.294,0.564
10214328,6923.0,80.0,-0.584,0.102,1.765,0.040999999999999995,-0.038,0.035,1.23,0.071,-0.042,0.047,4.033,0.022000000000000002,-0.019,0.008,0.2237,0.013369999999999998,-0.013969999999999998,0.0062840000000000005,3.003,0.332,-0.5529999999999999,0.595
10215584,5995.0,57.0,-0.015,0.1,1.139,0.026000000000000002,-0.026000000000000002,0.013000000000000001,1.068,0.048,-0.052000000000000005,0.037000000000000005,4.352,0.016,-0.016,0.006,0.7201,0.03707,-0.028480000000000002,0.004772,4.4910000000000005,1.358,-1.177,1.44
10272858,5208.0,68.0,-0.053,0.10300000000000001,3.636,0.057,-0.054000000000000006,0.042,1.389,0.063,-0.059000000000000004,0.043,3.4589999999999996,0.006,-0.006999999999999999,0.004,0.02891,0.0001515,-0.0001545,0.000491,2.862,0.5529999999999999,-0.474,0.18
10272923,5078.0,74.0,0.061,0.102,2.841,0.084,-0.08,0.023,1.205,0.099,-0.091,0.023,3.611,0.011000000000000001,-0.011000000000000001,0.002,0.05251,0.0007758999999999999,-0.0007708999999999999,0.0004585,5.318,1.8319999999999999,-1.337,0.358
10273246,6342.0,59.0,-0.262,0.1,2.147,0.021,-0.025,0.02,1.287,0.034,-0.039,0.038,3.883,0.006,-0.006,0.005,0.13,0.001716,-0.00173,0.001213,3.46,0.272,-0.23399999999999999,0.24100000000000002
10295224,6091.0,50.0,0.12,0.1,2.613,0.09,-0.084,0.027999999999999997,1.475,0.053,-0.053,0.036000000000000004,3.772,0.02,-0.02,0.002,0.08244,0.006408,-0.006225,0.001009,2.661,0.251,-0.20199999999999999,0.136
10319352,5659.0,63.0,0.19699999999999998,0.099,1.483,0.024,-0.033,0.016,1.077,0.05,-0.048,0.037000000000000005,4.128,0.016,-0.015,0.006999999999999999,0.3303,0.022019999999999998,-0.01459,0.005529999999999999,8.685,1.3719999999999999,-1.358,1.129
10322381,6464.0,63.0,-0.361,0.1,1.401,0.063,-0.055999999999999994,0.02,1.138,0.057999999999999996,-0.053,0.037000000000000005,4.199,0.027999999999999997,-0.028999999999999998,0.002,0.4109,0.04451,-0.04345,0.00595,3.635,0.758,-0.6459999999999999,0.726
10324098,6370.0,68.0,-0.11800000000000001,0.10099999999999999,2.11,0.073,-0.049,0.036000000000000004,1.3259999999999998,0.162,-0.043,0.06,3.912,0.016,-0.015,0.005,0.1408,0.006834000000000001,-0.006629,0.001182,3.273,0.3,-0.981,0.5920000000000001
10351059,6530.0,58.0,0.16,0.1,1.819,0.039,-0.038,0.024,1.47,0.049,-0.048,0.054000000000000006,4.085,0.013000000000000001,-0.013999999999999999,0.005,0.244,0.011340000000000001,-0.01135,0.0017239999999999998,1.9380000000000002,0.259,-0.249,0.222
10355856,6558.0,56.0,-0.152,0.1,1.7380000000000002,0.017,-0.016,0.021,1.347,0.04,-0.036000000000000004,0.039,4.087,0.006,-0.006,0.004,0.2561,0.002273,-0.0021609999999999997,0.002391,2.443,0.218,-0.237,0.223
10385708,6036.0,55.0,0.121,0.1,1.766,0.045,-0.036000000000000004,0.019,1.227,0.12300000000000001,-0.040999999999999995,0.036000000000000004,4.033,0.016,-0.013000000000000001,0.008,0.2228,0.00881,-0.008581,0.003394,4.913,0.504,-1.374,0.8959999999999999
10394814,5156.0,64.0,-0.19899999999999998,0.10099999999999999,3.1460000000000004,0.083,-0.081,0.025,1.128,0.075,-0.07,0.021,3.4939999999999998,0.008,-0.008,0.001,0.03621,0.0007182,-0.0007061,8.353e-05,5.585,1.496,-1.183,0.508
10398597,6412.0,65.0,0.11199999999999999,0.1,2.015,0.075,-0.068,0.023,1.47,0.065,-0.10400000000000001,0.043,3.991,0.024,-0.024,0.003,0.1769,0.01432,-0.01461,0.0017800000000000001,2.263,0.867,-0.299,0.35
10417911,5545.0,63.0,0.13699999999999998,0.1,1.901,0.054000000000000006,-0.052000000000000005,0.018000000000000002,1.145,0.049,-0.049,0.025,3.938,0.015,-0.015,0.003,0.1663,0.00946,-0.009323999999999999,0.0020989999999999997,7.191,0.883,-0.794,0.42100000000000004
10454113,6197.0,45.0,-0.055,0.1,1.255,0.012,-0.013000000000000001,0.006,1.203,0.035,-0.035,0.016,4.32,0.005,-0.005,0.002,0.6076,0.002389,-0.001726,0.003461,2.282,0.5720000000000001,-0.502,0.489
10462940,6265.0,48.0,0.11199999999999999,0.099,1.271,0.015,-0.015,0.009000000000000001,1.239,0.04,-0.042,0.031,4.322,0.006,-0.006,0.004,0.6025,0.0052840000000000005,-0.005313,0.00365,1.726,0.595,-0.48100000000000004,0.7759999999999999
10491771,6601.0,48.0,-0.10099999999999999,0.1,1.511,0.04,-0.038,0.016,1.2990000000000002,0.039,-0.037000000000000005,0.039,4.192,0.018000000000000002,-0.018000000000000002,0.006,0.3723,0.01257,-0.044969999999999996,0.004849,2.181,0.249,-0.251,0.373
10518551,6242.0,60.0,-0.267,0.10099999999999999,2.08,0.03,-0.032,0.021,1.25,0.037000000000000005,-0.044000000000000004,0.037000000000000005,3.898,0.008,-0.009000000000000001,0.004,0.1388,0.003599,-0.0034950000000000003,0.0011380000000000001,3.873,0.37,-0.292,0.305
10593351,5927.0,81.0,0.151,0.1,3.071,0.028999999999999998,-0.028999999999999998,0.045,1.59,0.038,-0.035,0.047,3.665,0.005,-0.005,0.003,0.054939999999999996,0.0006866000000000001,-0.0006900000000000001,0.001084,2.1,0.09,-0.085,0.23600000000000002
10610027,6704.0,58.0,-0.040999999999999995,0.1,1.48,0.055,-0.05,0.017,1.329,0.049,-0.039,0.039,4.2219999999999995,0.025,-0.026000000000000002,0.004,0.4115,0.041069999999999995,-0.03719,0.0050810000000000004,1.6740000000000002,0.299,-0.33899999999999997,0.294
10644253,6069.0,50.0,0.096,0.1,1.1179999999999999,0.013000000000000001,-0.013999999999999999,0.004,1.159,0.040999999999999995,-0.042,0.018000000000000002,4.405,0.006,-0.006,0.003,0.8301,0.003011,-0.002898,0.004815,1.374,0.8270000000000001,-0.725,0.723
10655953,6594.0,61.0,-0.073,0.099,1.2670000000000001,0.025,-0.024,0.01,1.262,0.044000000000000004,-0.046,0.02,4.333,0.012,-0.013000000000000001,0.003,0.6211,0.029789999999999997,-0.01942,0.006402,0.805,0.49200000000000005,-0.418,0.434
10670371,5334.0,71.0,-0.11900000000000001,0.1,3.017,0.057999999999999996,-0.07,0.038,1.501,0.054000000000000006,-0.076,0.043,3.6519999999999997,0.006999999999999999,-0.006999999999999999,0.003,0.054520000000000006,0.001403,-0.001438,0.0006112,2.355,0.423,-0.233,0.298
10712891,5358.0,109.0,-0.049,0.099,3.0589999999999997,0.105,-0.125,0.042,1.505,0.087,-0.126,0.045,3.641,0.013000000000000001,-0.013000000000000001,0.001,0.052410000000000005,0.003,-0.0027660000000000002,0.0007827999999999999,2.278,0.875,-0.34600000000000003,0.305
10717090,5817.0,74.0,0.23800000000000002,0.1,1.546,0.049,-0.05,0.032,1.22,0.057,-0.094,0.076,4.141,0.02,-0.022000000000000002,0.01,0.3257,0.044239999999999995,-0.01293,0.004455,5.096,2.042,-0.904,1.588
10727922,6319.0,66.0,-0.304,0.1,1.9169999999999998,0.069,-0.066,0.031,1.212,0.044000000000000004,-0.05,0.049,3.9539999999999997,0.023,-0.024,0.004,0.171,0.01525,-0.01434,0.001841,4.063,0.525,-0.396,0.488
10730618,6422.0,54.0,-0.006,0.1,1.777,0.018000000000000002,-0.018000000000000002,0.016,1.368,0.043,-0.040999999999999995,0.037000000000000005,4.074,0.006,-0.006,0.004,0.2436,0.0018440000000000002,-0.001718,0.001379,2.594,0.266,-0.265,0.32299999999999995
10731424,6432.0,65.0,-0.129,0.10099999999999999,2.55,0.087,-0.076,0.044000000000000004,1.4369999999999998,0.063,-0.055,0.053,3.782,0.018000000000000002,-0.019,0.003,0.08646000000000001,0.006023,-0.00587,0.001284,2.435,0.254,-0.217,0.163
10732098,5796.0,67.0,-0.01,0.1,1.778,0.047,-0.046,0.022000000000000002,1.121,0.049,-0.054000000000000006,0.027000000000000003,3.987,0.013999999999999999,-0.015,0.004,0.199,0.010329999999999999,-0.01023,0.0034219999999999997,6.92,0.9359999999999999,-0.828,0.599
10794845,6398.0,55.0,-0.195,0.1,1.143,0.047,-0.043,0.01,1.1420000000000001,0.045,-0.046,0.031,4.378,0.028999999999999998,-0.032,0.005,0.7723,0.04927,-0.0485,0.013669999999999998,1.411,0.922,-0.813,1.148
10873176,6517.0,89.0,-0.8370000000000001,0.10400000000000001,2.021,0.035,-0.034,0.018000000000000002,1.109,0.045,-0.040999999999999995,0.03,3.8710000000000004,0.011000000000000001,-0.011000000000000001,0.006,0.1342,0.004548,-0.00436,0.001539,4.379,0.498,-0.457,0.301
10909629,6501.0,61.0,-0.297,0.10099999999999999,2.112,0.035,-0.019,0.055,1.3019999999999998,0.061,-0.036000000000000004,0.099,3.903,0.009000000000000001,-0.006,0.01,0.1378,0.001352,-0.0013039999999999998,0.001243,3.103,0.231,-0.319,0.5920000000000001
10923629,6195.0,87.0,0.157,0.1,2.5780000000000003,0.028999999999999998,-0.094,0.032,1.6880000000000002,0.038,-0.20199999999999999,0.069,3.84,0.006999999999999999,-0.02,0.006999999999999999,0.09807,0.001289,-0.001288,0.001072,1.817,0.882,-0.16899999999999998,0.32
10959362,5806.0,94.0,0.419,0.102,2.307,0.064,-0.057999999999999996,0.045,1.406,0.039,-0.038,0.08199999999999999,3.859,0.017,-0.017,0.006999999999999999,0.1142,0.006940000000000001,-0.006783,0.001556,3.6660000000000004,0.384,-0.349,0.2
10963065,6316.0,45.0,-0.188,0.1,1.242,0.013000000000000001,-0.013999999999999999,0.011000000000000001,1.131,0.036000000000000004,-0.036000000000000004,0.026000000000000002,4.303,0.005,-0.006,0.004,0.5889,0.00238,-0.0014529999999999999,0.004092,3.1310000000000002,0.56,-0.522,0.45399999999999996
10971974,6030.0,58.0,-0.077,0.102,1.19,0.032,-0.031,0.011000000000000001,1.057,0.052000000000000005,-0.051,0.028999999999999998,4.311,0.018000000000000002,-0.018000000000000002,0.005,0.6314,0.0376,-0.03756,0.0049310000000000005,5.256,1.31,-1.1640000000000001,1.111
10972252,6237.0,60.0,-0.136,0.10099999999999999,2.285,0.043,-0.040999999999999995,0.032,1.338,0.045,-0.043,0.047,3.845,0.011000000000000001,-0.011000000000000001,0.006,0.1118,0.004106,-0.004122,0.0010019999999999999,3.302,0.267,-0.27399999999999997,0.53
10972873,5928.0,64.0,-0.057,0.10099999999999999,1.861,0.022000000000000002,-0.027000000000000003,0.026000000000000002,1.177,0.043,-0.05,0.023,3.968,0.006,-0.006999999999999999,0.005,0.1827,0.0009272,-0.001056,0.003431,5.638999999999999,0.6809999999999999,-0.563,0.366
10976896,5628.0,58.0,-0.313,0.102,2.167,0.053,-0.052000000000000005,0.021,1.102,0.055,-0.053,0.023,3.807,0.011000000000000001,-0.011000000000000001,0.004,0.108,0.004305,-0.00421,0.001467,6.075,0.7190000000000001,-0.66,0.34700000000000003
11021413,5452.0,72.0,-0.078,0.1,2.085,0.057,-0.054000000000000006,0.018000000000000002,1.1159999999999999,0.062,-0.057,0.022000000000000002,3.846,0.01,-0.01,0.002,0.1229,0.004753,-0.004716,0.001381,6.784,0.9520000000000001,-0.865,0.429
