KIC,numax,enumax,Dnu,eDnu,Length,HBR,Teff_SDSS,eTeff_SDSS,[M/H]_SDSS,e[M/H]_SDSS,Radius_SDSS,+eRad_SDSS,-eRad_SDSS,syRad_SDSS,Mass_SDSS,+eMas_SDSS,-eMas_SDSS,syMas_SDSS,logg_SDSS,+elogg_SDSS,-elogg_SDSS,sylogg_SDSS,rho_SDSS,+erho_SDSS,-erho_SDSS,syrho_SDSS,Age_SDSS,+eAge_SDSS,-eAge_SDSS,syAge_SDSS,Teff_ASPC,eTeff_ASPC,[M/H]_ASPC,e[M/H]_ASPC,Radius_ASPC,+eRad_ASPC,-eRad_ASPC,syRad_ASPC,Mass_ASPC,+eMas_ASPC,-eMas_ASPC,syMas_ASPC,logg_ASPC,+elogg_ASPC,-elogg_ASPC,sylogg_ASPC,rho_ASPC,+erho_ASPC,-erho_ASPC,syrho_ASPC,Age_ASPC,+eAge_ASPC,-eAge_ASPC,syAge_ASPC
11389437,1228.753,38.355,67.92399999999999,1.075,25.8,1.489,6158.0,53.0,-0.023,0.099,1.69,0.043,-0.03,0.019,1.192,0.098,-0.04,0.027999999999999997,4.059,0.011000000000000001,-0.01,0.004,0.247,0.006620999999999999,-0.006878,0.002274,4.837,0.49700000000000005,-1.195,0.5579999999999999,5888.8,69.27600000000001,-0.023,0.099,1.655,0.031,-0.033,0.021,1.113,0.046,-0.052000000000000005,0.038,4.046,0.009000000000000001,-0.009000000000000001,0.006,0.2454,0.006741,-0.006842,0.003271,6.83,0.9890000000000001,-0.843,1.123
11395018,846.58,15.785,47.785,0.7240000000000001,593.9,1.736,5650.0,59.0,0.151,0.099,2.18,0.032,-0.034,0.015,1.276,0.037000000000000005,-0.042,0.021,3.866,0.006999999999999999,-0.006999999999999999,0.004,0.1231,0.002898,-0.0028469999999999997,0.001602,4.887,0.385,-0.332,0.26,5387.4,69.27600000000001,0.151,0.099,2.15,0.037000000000000005,-0.042,0.023,1.219,0.044000000000000004,-0.052000000000000005,0.032,3.858,0.006999999999999999,-0.006999999999999999,0.004,0.1225,0.003002,-0.002924,0.001556,5.792999999999999,0.684,-0.496,0.565
11401156,578.763,17.163,35.998000000000005,0.698,29.4,2.891,5115.0,86.0,0.016,0.1,2.5639999999999996,0.106,-0.10300000000000001,0.013999999999999999,1.176,0.12,-0.111,0.019,3.69,0.012,-0.012,0.002,0.06967000000000001,0.002507,-0.002454,0.0005737,5.749,2.543,-1.713,0.43700000000000006,4969.1,69.27600000000001,0.016,0.1,2.465,0.09699999999999999,-0.08900000000000001,0.076,1.061,0.10400000000000001,-0.091,0.086,3.679,0.012,-0.012,0.008,0.07076,0.002424,-0.00242,0.0009472000000000001,8.72,3.0869999999999997,-2.435,2.75
11401708,672.048,18.942,40.161,0.29600000000000004,92.4,1.6469999999999998,5859.0,63.0,0.20600000000000002,0.1,2.563,0.026000000000000002,-0.03,0.024,1.4469999999999998,0.036000000000000004,-0.044000000000000004,0.023,3.78,0.006,-0.006,0.004,0.08596000000000001,0.001258,-0.001218,0.00131,3.0189999999999997,0.222,-0.161,0.2,5661.5,69.27600000000001,0.20600000000000002,0.1,2.546,0.031,-0.028999999999999998,0.027999999999999997,1.4180000000000001,0.039,-0.047,0.025,3.7760000000000002,0.006,-0.006,0.006,0.08567000000000001,0.001184,-0.001335,0.001621,3.295,0.254,-0.20600000000000002,0.3
11414712,753.703,19.584,43.827,0.156,1042.6,2.5810000000000004,5673.0,61.0,-0.174,0.1,2.2880000000000003,0.024,-0.032,0.028999999999999998,1.228,0.034,-0.049,0.032,3.807,0.006,-0.006,0.005,0.1025,0.0007335,-0.0007392000000000001,0.001994,4.711,0.47100000000000003,-0.32,0.23199999999999998,5427.1,69.27600000000001,-0.174,0.1,2.242,0.035,-0.038,0.031,1.162,0.051,-0.053,0.04,3.801,0.006999999999999999,-0.006999999999999999,0.004,0.1031,0.0008106,-0.0007987000000000001,0.001297,5.735,0.809,-0.614,0.769
11454149,2541.14,283.77099999999996,114.969,3.2969999999999997,31.0,1.166,6435.0,52.0,-0.233,0.1,1.153,0.027999999999999997,-0.027000000000000003,0.011000000000000001,1.141,0.045,-0.046,0.033,4.37,0.016,-0.017,0.005,0.7441,0.03631,-0.0465,0.004432,1.5,0.757,-0.679,0.779,6215.9,69.27600000000001,-0.233,0.1,1.129,0.027999999999999997,-0.027999999999999997,0.018000000000000002,1.058,0.051,-0.05,0.052000000000000005,4.356,0.017,-0.018000000000000002,0.008,0.7374,0.03966,-0.03967,0.006055,3.5780000000000003,1.228,-1.087,1.248
11460626,801.428,72.94,48.038999999999994,1.871,29.6,1.4669999999999999,6176.0,62.0,-0.14400000000000002,0.099,2.1719999999999997,0.065,-0.062,0.025,1.286,0.04,-0.044000000000000004,0.039,3.872,0.019,-0.019,0.004,0.1249,0.008862,-0.008491,0.0012490000000000001,3.758,0.358,-0.304,0.275,5881.3,69.27600000000001,-0.14400000000000002,0.099,2.133,0.068,-0.065,0.022000000000000002,1.204,0.05,-0.055,0.038,3.859,0.018000000000000002,-0.019,0.006,0.1235,0.00856,-0.008428,0.0018210000000000001,4.896,0.633,-0.502,0.5
11467550,967.5169999999999,50.126999999999995,54.54,2.932,29.9,1.3780000000000001,6146.0,58.0,-0.08,0.1,1.9680000000000002,0.059000000000000004,-0.057,0.037000000000000005,1.247,0.045,-0.047,0.054000000000000006,3.945,0.018000000000000002,-0.018000000000000002,0.003,0.1635,0.011170000000000001,-0.01072,0.002582,4.247,0.465,-0.359,0.426,5857.6,69.27600000000001,-0.08,0.1,1.925,0.063,-0.062,0.038,1.16,0.055999999999999994,-0.055999999999999994,0.055999999999999994,3.9330000000000003,0.018000000000000002,-0.018000000000000002,0.005,0.1624,0.01123,-0.01075,0.002228,5.8420000000000005,0.8290000000000001,-0.69,0.976
11496573,352.306,7.757000000000001,23.272,0.5329999999999999,29.5,3.0669999999999997,5218.0,90.0,-0.046,0.1,3.682,0.163,-0.163,0.071,1.47,0.14800000000000002,-0.142,0.073,3.472,0.01,-0.01,0.003,0.02939,0.001245,-0.001191,0.0004841,2.445,1.212,-0.8,0.335,4963.3,69.27600000000001,-0.046,0.1,3.445,0.163,-0.157,0.12300000000000001,1.252,0.13699999999999998,-0.125,0.10800000000000001,3.46,0.01,-0.01,0.006999999999999999,0.03055,0.001302,-0.001259,0.0006458,4.705,2.231,-1.479,1.614
11506988,1090.014,86.773,58.59,1.37,28.5,1.473,6438.0,289.0,-0.23,0.1,1.8719999999999999,0.057999999999999996,-0.054000000000000006,0.035,1.251,0.155,-0.094,0.065,3.9939999999999998,0.027000000000000003,-0.022000000000000002,0.006999999999999999,0.1924,0.01012,-0.009541,0.0009794,3.608,1.48,-1.496,0.7340000000000001,6318.6,69.27600000000001,-0.23,0.1,1.857,0.04,-0.038,0.023,1.219,0.04,-0.044000000000000004,0.042,3.986,0.013999999999999999,-0.013000000000000001,0.008,0.1901,0.008409999999999999,-0.008371,0.002607,4.044,0.475,-0.366,0.562
