KIC,Teff,eTeff,[M/H],e[M/H],Radius,+eRad,-eRad,syRad,Mass,+eMas,-eMas,syMas,logg,+elogg,-elogg,sylogg,rho,+erho,-erho,syrho,Age,+eAge,-eAge,syAge
3632418,6128.9,69.27600000000001,-0.11199999999999999,0.1,1.855,0.055999999999999994,-0.021,0.043,1.28,0.132,-0.046,0.099,4.01,0.017,-0.008,0.013999999999999999,0.2012,0.001831,-0.001486,0.002236,4.026,0.528,-1.311,1.429
3633847,6019.3,69.27600000000001,0.12,0.1,1.835,0.04,-0.032,0.027999999999999997,1.246,0.051,-0.044000000000000004,0.05,4.005,0.013000000000000001,-0.011000000000000001,0.01,0.2013,0.006579000000000001,-0.006456,0.003418,4.771,0.539,-0.5479999999999999,0.841
3633889,6283.0,69.27600000000001,-0.12,0.1,1.298,0.034,-0.033,0.027000000000000003,1.1440000000000001,0.054000000000000006,-0.052000000000000005,0.06,4.269,0.012,-0.012,0.006,0.5211,0.02387,-0.02333,0.007370000000000001,3.517,0.8759999999999999,-0.757,0.8959999999999999
3642422,5090.9,69.27600000000001,-0.019,0.1,3.052,0.11199999999999999,-0.128,0.128,1.365,0.141,-0.154,0.16899999999999998,3.603,0.015,-0.018000000000000002,0.016,0.04793,0.0012980000000000001,-0.001283,0.00037580000000000003,3.427,1.8880000000000001,-1.079,1.6230000000000002
3643774,5907.4,69.27600000000001,0.158,0.1,1.577,0.016,-0.022000000000000002,0.023,1.246,0.037000000000000005,-0.05,0.051,4.137,0.006,-0.009000000000000001,0.008,0.3173,0.002855,-0.0028350000000000003,0.0040219999999999995,4.462,0.924,-0.501,1.026
3656476,5560.4,69.27600000000001,0.233,0.1,1.2990000000000002,0.015,-0.015,0.021,1.033,0.036000000000000004,-0.036000000000000004,0.046,4.224,0.006,-0.006,0.006,0.471,0.0006992000000000001,-0.0008420999999999999,0.005604,9.792,1.548,-1.3969999999999998,1.993
3657002,5944.7,69.27600000000001,0.11199999999999999,0.1,1.505,0.028999999999999998,-0.032,0.023,1.193,0.055999999999999994,-0.078,0.057,4.157,0.011000000000000001,-0.012,0.009000000000000001,0.3481,0.008782,-0.008608,0.004807,4.935,1.6340000000000001,-0.857,1.3719999999999999
3661135,5480.1,69.27600000000001,-0.02,0.1,1.859,0.045,-0.045,0.023,1.0759999999999998,0.046,-0.052000000000000005,0.036000000000000004,3.93,0.011000000000000001,-0.011000000000000001,0.005,0.1672,0.006908,-0.006634,0.0019,8.412,1.05,-0.892,0.997
3730801,5715.3,69.27600000000001,0.16399999999999998,0.1,1.5330000000000001,0.042,-0.035,0.031,1.107,0.057,-0.049,0.055,4.11,0.013000000000000001,-0.013000000000000001,0.008,0.3066,0.012629999999999999,-0.012029999999999999,0.003389,7.7860000000000005,1.2670000000000001,-1.319,1.6569999999999998
3733735,6477.1,69.27600000000001,-0.077,0.1,1.452,0.011000000000000001,-0.031,0.031,1.479,0.024,-0.1,0.096,4.283,0.005,-0.01,0.012,0.4836,0.004389,-0.003751,0.007006999999999999,1.244,0.405,-0.442,1.001
3735871,5970.3,69.27600000000001,-0.032,0.099,1.092,0.015,-0.016,0.015,1.078,0.044000000000000004,-0.046,0.046,4.394,0.006999999999999999,-0.006999999999999999,0.006999999999999999,0.8283,0.006867,-0.006185,0.006911,3.272,1.3230000000000002,-1.07,1.338
3761840,6022.4,69.27600000000001,0.011000000000000001,0.1,2.8,0.07,-0.067,0.025,1.494,0.05,-0.054000000000000006,0.035,3.716,0.013999999999999999,-0.015,0.006999999999999999,0.06776,0.003633,-0.003561,0.0011710000000000002,2.4419999999999997,0.205,-0.157,0.26
3854781,5501.7,69.27600000000001,0.256,0.1,1.758,0.028999999999999998,-0.03,0.027999999999999997,1.13,0.04,-0.042,0.05,4.0,0.009000000000000001,-0.009000000000000001,0.006,0.2078,0.005543,-0.005471,0.002822,8.087,1.01,-0.9209999999999999,1.218
3942719,5601.8,69.27600000000001,-0.364,0.10099999999999999,2.0869999999999997,0.053,-0.052000000000000005,0.027999999999999997,1.067,0.053,-0.053,0.039,3.825,0.01,-0.01,0.005,0.117,0.004364,-0.004327,0.001165,6.796,0.9,-0.741,0.809
3952307,5857.9,69.27600000000001,-0.11800000000000001,0.1,2.03,0.045,-0.045,0.024,1.1740000000000002,0.053,-0.053,0.036000000000000004,3.891,0.012,-0.012,0.006999999999999999,0.14,0.005691,-0.005571,0.0023829999999999997,5.449,0.6809999999999999,-0.568,0.603
3952580,6004.1,69.27600000000001,-0.07400000000000001,0.1,2.705,0.038,-0.04,0.027999999999999997,1.436,0.05,-0.046,0.036000000000000004,3.7310000000000003,0.008,-0.008,0.006999999999999999,0.07274,0.0016420000000000002,-0.0015970000000000001,0.0012460000000000001,2.6710000000000003,0.22899999999999998,-0.17,0.29
3967859,5832.6,69.27600000000001,-0.375,0.1,1.227,0.03,-0.028999999999999998,0.028999999999999998,0.87,0.046,-0.044000000000000004,0.064,4.199,0.015,-0.015,0.01,0.4715,0.02292,-0.02226,0.005178,12.55,1.74,-1.761,2.927
4038445,4969.7,69.27600000000001,-0.7659999999999999,0.105,2.526,0.078,-0.07,0.716,0.9279999999999999,0.069,-0.06,0.163,3.6,0.008,-0.008,0.008,0.0575,0.0014880000000000002,-0.001505,0.001689,10.32,2.512,-2.1959999999999997,4.632
4049576,5678.0,69.27600000000001,-0.264,0.10099999999999999,1.876,0.09300000000000001,-0.084,0.026000000000000002,1.034,0.055999999999999994,-0.054000000000000006,0.036000000000000004,3.904,0.027999999999999997,-0.028999999999999998,0.006,0.1558,0.01876,-0.01619,0.002614,7.909,1.181,-1.0490000000000002,0.9470000000000001
4064447,5050.0,69.27600000000001,-0.252,0.1,3.891,0.261,-0.252,0.257,1.265,0.203,-0.184,0.22,3.358,0.024,-0.025,0.017,0.0214,0.001707,-0.001634,0.0005425,3.929,3.255,-1.761,2.596
