id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,comments
KIC6313425,5611.9130000000005,122.25423400000001,3.740059851565397,0.008941202537040172,-0.01317637,0.049872216,0.0020075394094531533,2.9243183739006006e-05,9.737,0.02,299.080970095453,41.69447876166375,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6370489,6325.255,158.8022,3.928156924103016,0.010660189207623166,-0.38696915,0.083319224,0.006850778394844858,2.797447008590441e-05,7.529,0.017,293.84150909689515,41.77650489127883,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6430804,4920.994000000001,80.247925,3.473286141129353,0.012897673281710669,0.111631535,0.03132198,0.0021234443985155204,1.8475251445733015e-05,9.366,0.018000000000000002,287.50898793632575,41.88938999866377,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6442183,5575.422,120.47685,3.778989062192633,0.02155132524654642,-0.103785396,0.06698653,0.01107888776236103,2.4303067354245056e-05,6.983,0.016,291.5800673469364,41.86991691413756,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6508366,6323.2466,147.11931,3.9508842988133823,0.00836684190092028,-0.06563015,0.08347354,0.005546270509790096,2.3018764249750086e-05,7.801,0.024,286.93163372684074,41.93773511197378,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6520835,6260.352,141.2969,3.9163085724172193,0.023174094071590573,0.028214073,0.08197935,0.0034398503515261094,2.047124562942719e-05,8.786,0.013999999999999999,291.31609726830743,41.91677054606697,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6529109,5576.1777,113.57770500000001,3.9970427232478736,0.013832727519525764,0.14344005,0.067073144,0.0031072271451743298,2.5187487234733687e-05,9.557,0.013999999999999999,293.92404135464716,41.952581131429355,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6530901,6239.996,142.26203999999998,4.169090239517312,0.04827184974096516,-0.023879759,0.081472896,0.0042422017711137815,3.3907558402584425e-05,9.013,0.016,294.43527828426164,41.903276603710864,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6531928,5046.7734,88.60670999999999,3.578273524441693,0.01092948238961423,-0.6703838000000001,0.05004767,0.00326102363258224,2.536163846151714e-05,8.833,0.024,294.71256628975897,41.96604081217391,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6592305,6091.53,132.76439,3.8822118988163865,0.01842340161378158,0.09161963,0.07802796,0.003612918535690101,2.6187024950987428e-05,8.625,0.011000000000000001,287.2529241765191,42.05480833351256,kmag,allsky,using APOGEE DR14 m_h and teff
