epochs,loss,mae,val_loss,val_mae
162,0.005620700974948704,0.00404514791443944,0.004626433373621057,0.003930921200662851
163,0.0055766103165224195,0.003984070848673582,0.004669322618908008,0.003973762970417738
164,0.00559854544326663,0.003985680639743805,0.004709676309610064,0.004014070611447096
165,0.005604861510917544,0.004014149773865938,0.0048179144914033524,0.0041222646832466125
166,0.005763833079487086,0.004111282527446747,0.004786775764924405,0.0040910933166742325
167,0.005638732780702412,0.00402775127440691,0.004730883643674628,0.00403516786172986
168,0.005578000691719353,0.004007167182862759,0.004659527122445929,0.003963777795433998
169,0.005588689283467829,0.004021696746349335,0.004700465901575895,0.004004684742540121
170,0.005519757907837629,0.003985207062214613,0.004681536633932374,0.003985725808888674
171,0.00547612627595663,0.003937486093491316,0.004600720164404007,0.0039048779290169477
